id,kode_1,kode_2,kode_3,kode_4,kode_5,rencana_kerja,level,pengisian,pedoman,contoh_link
1,A.,,,,,A. PENGUNGKIT,1,0,,
2,A.,I.,,,,I. PEMENUHAN,2,0,,
3,A.,I.,I,,,I MANAJEMEN PERUBAHAN,3,0,,
4,A.,I.,I,i.,,i. Penyusunan Tim Kerja,4,0,,
5,A.,I.,I,i.,a.,a. Unit kerja telah membentuk tim untuk melakukan pembangunan Zona Integritas,5,1,(i) SK Tim Kerja Pembangunan ZI menuju WBK/WBBM Tahun.,http://s.bps.go.id/ManajemenPerubahan_1a_bps
6,A.,I.,I,i.,b.,b. Penentuan anggota Tim dipilih melalui prosedur/mekanisme yang jelas,5,1,"(i) Notulen/laporan pelaksanaan rapat pembentukan Tim Kerja yang telah disahkan oleh kepala satker;
(ii) Mekanisme yang menjelaskan tata cara pemilihan anggota Tim;
(iii) Kertas kerja penentuan anggota Tim Kerja",http://s.bps.go.id/ManajemenPerubahan_1b_bps
7,A.,I.,I,ii.,,ii. Rencana Pembangunan Zona Integritas,4,0,,
8,A.,I.,I,ii.,a.,a. Terdapat dokumen rencana kerja pembangunan Zona Integritas menuju WBK/WBBM,5,1,"(i) Dokumen rencana pembangunan ZI yang mencakup:
- Susunan Tim Pembangunan ZI;
- Target prioritas yang ingin dicapai (bisa berupa narasi atau penandaan pada tabel rencana kerja);
- Rencana kerja dan rencana aksi;
- Rencana dan realisasi timeline pelaksanaan pembangunan ZI;
- Legalisasi pimpinan.",http://s.bps.go.id/ManajemenPerubahan_2a_bps
9,A.,I.,I,ii.,b.,b. Dalam dokumen pembangunan terdapat target-target prioritas yang relevan dengan tujuan pembangunan WBK/WBBM,5,1,"(i) Dokumen rencana kerja pembangunan ZI yang
mencakup:
- Susunan Tim Pembangunan ZI;
- Target prioritas yang ingin dicapai (bisa berupa narasi atau penandaan pada tabel rencana kerja);
- Rencana kerja dan rencana aksi;
- Rencana dan realisasi timeline pelaksanaan pembangunan ZI;
- Legalisasi pimpinan.",http://s.bps.go.id/ManajemenPerubahan_2b_bps
10,A.,I.,I,ii.,c.,c. Terdapat mekanisme atau media untuk mensosialisasikan pembangunan WBK/WBBM,5,1,"(i) Laporan pelaksanaan sosialisasi yang mencakup sosialisasi offline dan online (screen capture website, media sosial, ataupun foto kegiatan terkait serta link terkait).",http://s.bps.go.id/ManajemenPerubahan_2c_bps
11,A.,I.,I,iii.,,iii. Pemantauan dan Evaluasi Pembangunan WBK/WBBM,4,0,,
12,A.,I.,I,iii.,a.,a. Seluruh kegiatan pembangunan sudah dilaksanakan sesuai dengan rencana,5,1,"(i) Dokumen rencana kerja pembangunan ZI;
(ii) Laporan pelaksanaan kegiatan pembangunan ZI.",http://s.bps.go.id/ManajemenPerubahan_3a_bps
13,A.,I.,I,iii.,b.,b. Terdapat monitoring dan evaluasi terhadap pembangunan Zona Integritas,5,1,"(i) Laporan monitoring dan evaluasi pelaksanaan kegiatan memuat analisa kendala, solusi, dan rencana tindak lanjut atas masing-masing rencana aksi;
(ii) Undangan, daftar hadir, dan notulen pelaksanaan rapat evaluasi.",http://s.bps.go.id/ManajemenPerubahan_3b_bps
14,A.,I.,I,iii.,c.,c. Hasil Monitoring dan Evaluasi telah ditindaklanjuti,5,1,"(i) Notulen/laporan monitoring dan evaluasi yang memuat rekomendasi;
(ii) Laporan hasil tindak lanjut rekomendasi;
(iii) Dokumentasi pelaksanaan tindak lanjut.",http://s.bps.go.id/ManajemenPerubahan_3c_bps
15,A.,I.,I,iv.,,iv. Perubahan pola pikir dan budaya kerja,4,0,,
16,A.,I.,I,iv.,a.,a. Pimpinan berperan sebagai role model dalam pelaksanaan Pembangunan WBK/WBBM,5,1,(i) Laporan tahunan penerapan nilai-nilai organisasi (BerAKHLAK) oleh pimpinan sebagai role model/change leader,http://s.bps.go.id/ManajemenPerubahan_4a_bps
17,A.,I.,I,iv.,b.,b. Sudah ditetapkan agen perubahan,5,1,"(i) SK Agen Perubahan satker tahun (Change Champion dan/ Change Ambassador);
(ii) Laporan agen perubahan satker tahun yang memuat penjelasan detail perubahan konkret dari program kerja agen perubahan.",http://s.bps.go.id/ManajemenPerubahan_4b_bps
18,A.,I.,I,iv.,c.,c. Telah dibangun budaya kerja dan pola pikir di lingkungan organisasi,5,1,"(i) Laporan penerapan budaya kerja
(ii) Matriks dampak penerapan perubahan budaya kerja dan pola pikir.",http://s.bps.go.id/ManajemenPerubahan_4c_bps
19,A.,I.,I,iv.,d.,d. Anggota organisasi terlibat dalam pembangunan Zona Integritas menuju WBK/WBBM,5,1,"(i) Dokumen pakta integritas seluruh pegawai;
(ii) Dokumen pelaksanaan rapat Monev ZI triwulanan;
(iii) Dokumen yang memuat usulan-usulan anggota dan tindak lanjutnya.
",http://s.bps.go.id/ManajemenPerubahan_4d_bps
20,A.,I.,II,iv.,d.,II PENATAAN TATALAKSANA,3,0,,
21,A.,I.,II,i.,,i. Prosedur Operasional Tetap (SOP) Kegiatan Utama,4,0,,
22,A.,I.,II,i.,a.,a. SOP mengacu pada peta proses bisnis instansi,5,1,"(i) Seluruh dokumen SOP Teknis dan Non Teknis/ Administrasi BPS Provinsi/Kabupaten/Kota yang ditandatangani kepala satuan kerja (Satker);
(ii) Dokumen SOP Inovasi BPS Provinsi/Kabupaten/Kota yang ditandatangani kepala satuan kerja (Satker).",http://s.bps.go.id/PenataanTatalaksana_1a_bps
23,A.,I.,II,i.,b.,b. Prosedur operasional tetap (SOP) telah diterapkan,5,1,"(i) Dokumen monitoring pelaksanaan penerapan SOP sesuai Perka BPS Nomor 19 Tahun 2013 tentang Pedoman Penyusunan Standar Operasional Prosedur Administrasi Pemerintah di Lingkungan BPS, halaman 47;
(ii) Dokumen SOP Inovasi BPS Provinsi/Kabupaten/Kota yang ditandatangani kepala satuan kerja (Satker).",http://s.bps.go.id/PenataanTatalaksana_1b_bps
24,A.,I.,II,i.,c.,c. Prosedur operasional tetap (SOP) telah dievaluasi,5,1,"(i) Bukti pelaksanaan rapat evaluasi SOP (Undangan, Daftar Hadir, Notulen);
(ii) Kertas kerja evaluasi SOP;
(iii)Dokumen SOP awal dan SOP perbaikan",http://s.bps.go.id/PenataanTatalaksana_1c_bps
25,A.,I.,II,ii.,,ii. Sistem Pemerintahan Berbasis Elektronik (SPBE),4,0,,
26,A.,I.,II,ii.,a.,a. Sistem pengukuran kinerja unit sudah menggunakan teknologi informasi,5,1,"(i) Daftar seluruh penerapan teknologi informasi yang digunakan satker terkait pengukuran kinerja unit (seperti Simonev, FRA, dan atau inovasi lainnya jika ada);
(ii) Dokumen Screenshot aplikasi terkait pengukuran kinerja unit dan sudah berjalan (Simonev, FRA, dll) yang dilengkapi dengan narasi penjelasan penggunaan/pemanfaatan aplikasi TI dalam pengukuran kinerja unit;
(iii)Inovasi dilengkapi dengan Laporan Pemanfaatan Aplikasi yang berisi latar belakang/alasan pengembangan aplikasi, pemanfaatan aplikasi tersebut (dilengkapi dengan screenshot aplikasi) serta buku pedoman penggunaan aplikasi.",http://s.bps.go.id/PenataanTatalaksana_2a_bps
27,A.,I.,II,ii.,b.,b. Operasionalisasi manajemen SDM sudah menggunakan teknologi informasi,5,1,"(i) Daftar seluruh penerapan teknologi informasi yang digunakan satker terkait operasionalisasi manajemen SDM (Misal SIMPEG dan Sijafung, dan atau inovasi lain jika ada);
(ii) Dokumen Screenshot aplikasi terkait operasionalisasi manajemen SDM dan sudah berjalan (Misal SIMPEG dan Sijafung, dan/atau inovasi lain jika ada) yang dilengkapi dengan narasi penjelasan penggunaan/pemanfaatan aplikasi TI dalam operasionalisasi manajemen SDM;
(iii)Inovasi dilengkapi dengan Laporan Pemanfaatan Aplikasi yang berisi latar belakang/alasan pengembangan aplikasi, pemanfaatan aplikasi tersebut (dilengkapi dengan screenshot aplikasi) serta buku pedoman penggunaan aplikasi.",http://s.bps.go.id/PenataanTatalaksana_2b_bps
28,A.,I.,II,ii.,c.,c. Pemberian pelayanan kepada publik sudah menggunakan teknologi informasi,5,1,"(i) Daftar seluruh penerapan teknologi informasi yang digunakan satker terkait pelayanan publik (Misal Website, Romantik, Media Sosial, Layanan Pengaduan, dan atau Inovasi lain jika ada);
(ii) Dokumen Screenshot aplikasi terkait pelayanan publik dan sudah berjalan (seperti Website, Romantik, Media Sosial, Layanan Pengaduan) yang dilengkapi dengan narasi penjelasan penggunaan/pemanfaatan aplikasi TI dalam pelayanan publik;
(iii) Inovasi dilengkapi dengan Laporan Pemanfaatan Aplikasi yang berisi latar belakang/alasan pengembangan aplikasi, pemanfaatan aplikasi tersebut (dilengkapi dengan screenshot aplikasi) serta buku pedoman penggunaan aplikasi",http://s.bps.go.id/PenataanTatalaksana_2c_bps
29,A.,I.,II,ii.,d,"d Telah dilakukan monitoring dan dan evaluasi terhadap pemanfaatan teknologi informasi dalam pengukuran kinerja unit, operasionalisasi SDM, dan pemberian layanan kepada publik",5,1,"(i) Laporan monitoring dan evaluasi pemanfaatan TI (triwulanan/semesteran);
(ii) Dokumentasi rapat monitoring dan evaluasi pemanfaatan TI.",http://s.bps.go.id/PenataanTatalaksana_2d_bps
30,A.,I.,II,iii.,,iii. Keterbukaan Informasi Publik,4,0,,
31,A.,I.,II,iii.,a.,a. Kebijakan tentang keterbukaan informasi publik telah diterapkan,5,1,"(i) SK Unit Pendukung PPID tiap satker;
(ii) Daftar informasi publik satker yang dapat diakses (website satker, Sirup, PPID, dan lain-lain) sesuai Perka Nomor 1 Tahun 2021;
(iii) Screen shot media pengelolaan informasi publik satker.",http://s.bps.go.id/PenataanTatalaksana_3a_bps
32,A.,I.,II,iii.,b.,b. Telah dilakukan monitoring dan evaluasi pelaksanaan kebijakan keterbukaan informasi publik,5,1,(i) Laporan berkala monitoring dan evaluasi pelaksanaan kebijakan keterbukaan informasi publik dan bukti tindak lanjutnya (triwulanan/semesteran).,http://s.bps.go.id/PenataanTatalaksana_3b_bps
33,A.,I.,III,iii.,b.,III PENATAAN SISTEM MANAJEMEN SDM APARATUR,3,0,,
34,A.,I.,III,i.,,i. Perencanaan Kebutuhan Pegawai sesuai dengan Kebutuhan Organisasi,4,0,,
35,A.,I.,III,i.,a.,a. Kebutuhan pegawai yang disusun oleh unit kerja mengacu kepada peta jabatan dan hasil analisis beban kerja untuk masing-masing jabatan,5,1,"(i) Kepka BPS Nomor 281 tahun 2021 tentang Rekapitulasi Jabatan Hasil Analisis Beban Kerja di Lingkungan Badan Pusat Statistik 2021;
(ii) Dokumen Komposisi SDM ABK dan existing pegawai;
(iii) Notulensi Hasil Rapat Pembina Kepegawaian mengenai Rencana mutasi, Penerimaan/pengadaan pegawai.",http://s.bps.go.id/ManajemenSDM_1a_bps
36,A.,I.,III,i.,b.,b. Penempatan pegawai hasil rekrutmen murni mengacu kepada kebutuhan pegawai yang telah disusun per jabatan,5,1,"(i) Analisis Kebutuhan Pegawai;
(ii) Surat Perintah melaksanakan tugas dari kepala unit kerja;
(iii)SK Penempatan dan Jabatan.",http://s.bps.go.id/ManajemenSDM_1b_bps
37,A.,I.,III,i.,c.,c. Telah dilakukan monitoring dan dan evaluasi terhadap penempatan pegawai rekrutmen untuk memenuhi kebutuhan jabatan dalam organisasi telah memberikan perbaikan terhadap kinerja unit kerja,5,1,"(i) Laporan monitoring dengan menampilkan perubahan formasi antara ABK dan Existing pegawai dengan Matriks rekap setahun berapa yang masuk, berapa yang pindah atau rotasi jabatan dst.",http://s.bps.go.id/ManajemenSDM_1c_bps
38,A.,I.,III,ii.,,ii. Pola Mutasi Internal,4,0,,
39,A.,I.,III,ii.,a.,"a. Dalam melakukan pengembangan karier pegawai, telah dilakukan mutasi pegawai antar jabatan",5,1,"(i) Notulensi Rapat BaperJakat yang memuat pertimbangan Rotasi dan pelaksanaan Rotasi telah berorientasi pada pengembangan karir pegawai;
(ii) SK Mutasi / Rotasi Internal.",http://s.bps.go.id/ManajemenSDM_2a_bps
40,A.,I.,III,ii.,b.,b. Dalam melakukan mutasi pegawai antar jabatan telah memperhatikan kompetensi jabatan dan mengikuti pola mutasi yang telah ditetapkan,5,1,"(i) Notulensi Rapat BaperJakat yang memuat pertimbangan Rotasi dan pelaksanaan Rotasi telah memperhatikan kompetensi jabatan dan mengikuti pola mutasi yang ditetapkan organisasi dan juga satuan/unit kerja memberikan pertimbangan terkait hal ini;
(ii) SK Mutasi / Rotasi Internal;
(iii) Analisis kesenjangan kompetensi seluruh pegawai.",http://s.bps.go.id/ManajemenSDM_2b_bps
41,A.,I.,III,ii.,c.,c. Telah dilakukan monitoring dan evaluasi terhadap kegiatan mutasi yang telah dilakukan dalam kaitannya dengan perbaikan kinerja,5,1,(i) Laporan monitoring dan evaluasi pegawai yang mutasi/rotasi.,http://s.bps.go.id/ManajemenSDM_2c_bps
42,A.,I.,III,iii.,,iii. Pengembangan Pegawai Berbasis Kompetensi,4,0,,
43,A.,I.,III,iii.,a.,a. Unit Kerja melakukan Training Need Analysis Untuk pengembangan kompetensi,5,1,(i) Dokumen Analisa kebutuhan diklat/bimtek/ pengembangan pegawai (Training Need Analysis).,http://s.bps.go.id/ManajemenSDM_3a_bps
44,A.,I.,III,iii.,b.,"b. Dalam menyusun rencana pengembangan kompetensi pegawai, telah mempertimbangkan hasil pengelolaan kinerja pegawai",5,1,"(i) Analisis kesenjangan kompetensi seluruh pegawai;
(ii) Rencana pengembangan kompetensi pegawai;
(iii) Analisa kebutuhan diklat.",http://s.bps.go.id/PilarManajemenSDM_3b_bps
45,A.,I.,III,iii.,c.,c. Tingkat kesenjangan kompetensi pegawai yang ada dengan standar kompetensi yang ditetapkan untuk masing-masing jabatan,5,1,(i) Laporan Analisis Kesenjangan Kompetensi Jabatan Pegawai.,http://s.bps.go.id/ManajemenSDM_3c_bps
46,A.,I.,III,iii.,d.,d. Pegawai di Unit Kerja telah memperoleh kesempatan/hak untuk mengikuti diklat maupun pengembangan kompetensi lainnya,5,1,(i) Dokumen rekap data pegawai yang mengikuti pelatihan/diklat/pengembangan kompetensi lainnya dilengkapi dengan link bukti sertifikat/usulan diklat/undangan.,http://s.bps.go.id/ManajemenSDM_3d_bps
47,A.,I.,III,iii.,e.,"e. Dalam pelaksanaan pengembangan kompetensi, unit kerja melakukan upaya pengembangan kompetensi kepada pegawai (seperti pengikutsertaan pada lembaga pelatihan, in-house training, coaching, atau mentoring)",5,1,(i) Laporan pelaksanaan Pelatihan/Diklat/Bimtek /Capacity building yang diselenggarakan oleh unit/satuan kerja terkait atau bukti usulan unit/satuan kerja perihal pengikutsertaan pegawai pada Pelatihan/Diklat/Bimtek/Capacity building (jika ada).,http://s.bps.go.id/ManajemenSDM_3e_bps
48,A.,I.,III,iii.,f.,f. Telah dilakukan monitoring dan evaluasi terhadap hasil pengembangan kompetensi dalam kaitannya dengan perbaikan kinerja,5,1,(i) Laporan monitoring berupa matriks rekap jumlah Pelatihan/Diklat/Bimtek/Capacity building/Coaching selama periode 1 tahun serta evaluasi peningkatan kinerja.,http://s.bps.go.id/ManajemenSDM_3f_bps
49,A.,I.,III,iv.,,iv. Penetapan Kinerja Individu,4,0,,
50,A.,I.,III,iv.,a.,a. Terdapat penetapan kinerja individu yang terkait dengan perjanjian kinerja organisasi,5,1,"(i) Dokumen SKP bulanan seluruh pegawai dari KipApp;
(ii) Seluruh dokumen Matriks Peran Hasil (MPH) dari aplikasi Kipapp yang ditandatangani pimpinan;
(iii) Dokumen penjelasan cascading indikator kinerja mulai dari Visi, misi, PK sampai IKI.",http://s.bps.go.id/ManajemenSDM_4a_bps
51,A.,I.,III,iv.,b.,b. Ukuran kinerja individu telah memiliki kesesuaian dengan indikator kinerja individu level diatasnya,5,1,(i) Seluruh dokumen Matriks Peran Hasil (MPH) dari aplikasi Kipapp yang ditandatangani pimpinan.,http://s.bps.go.id/PilarManajemenSDM_4b_BPS
52,A.,I.,III,iv.,c.,c. Pengukuran kinerja individu dilakukan secara periodik,5,1,(i) Dokumen SKP bulanan seluruh pegawai dari KipApp.,http://s.bps.go.id/ManajemenSDM_4c_bps
53,A.,I.,III,iv.,d.,d. Hasil penilaian kinerja individu telah dijadikan dasar untuk pemberian reward,5,1,"(i) Dokumen mekanisme pemberian reward pegawai (misalnya, Employee of the month );
(ii) Kertas kerja pemberian reward;
(iii) Bukti reward (misalkan: sertifikat, dll).",http://s.bps.go.id/ManajemenSDM_4d_bps
54,A.,I.,III,v.,,v. Penegakan Aturan Disiplin/Kode Etik/Kode Perilaku Pegawai,4,0,,
55,A.,I.,III,v.,a.,a. Aturan disiplin/kode etik/kode perilaku telah dilaksanakan/diimplementasikan,5,1,"(i) Peraturan aturan disiplin/kode etik/kode perilaku, dll (internal);
(ii) Laporan penegakan hukuman atas pelanggaran aturan disiplin/kode etik/kode perilaku;
(iii) Dokumen inovasi terkait aturan disiplin/kode etik/kode perilaku.",http://s.bps.go.id/ManajemenSDM_5a_bps
56,A.,I.,III,vi.,,vi. Sistem Informasi Kepegawaian,4,0,,
57,A.,I.,III,vi.,a.,a. Data informasi kepegawaian unit kerja telah dimutakhirkan secara berkala,5,1,"(i) Laporan pemutakhiran data informasi kepegawaian yang ditandatangani oleh pimpinan;
(ii) Dokumen Entri Data Rekap Aktivitas dari SIMPEG.",http://s.bps.go.id/ManajemenSDM_6a_BPS
58,A.,I.,IV,vi.,a.,IV PENGUATAN AKUNTABILITAS,3,0,,
59,A.,I.,IV,i.,,i. Keterlibatan Pimpinan,4,0,,
60,A.,I.,IV,i.,a.,a. Unit kerja telah melibatkan pimpinan secara langsung pada saat penyusunan perencanaan,5,1,"(i) Undangan, notula, daftar hadir, foto rapat perencanaan kegiatan dan anggaran;
(ii) Dokumen perencanaan kegiatan dan anggaran yang memuat Perjanjian Kinerja (PK);
(iii) Dokumen daftar link PK yang diupload di PPID;
(iv)Dokumen perencanaan kegiatan dan anggaran yang memuat Petunjuk Operasional Kegiatan (POK).",http://s.bps.go.id/Akuntabilitas_41a_bps
61,A.,I.,IV,i.,b.,b. Unit kerja telah melibatkan secara langsung pimpinan saat penyusunan penetapan kinerja,5,1,"(i) Undangan, notula disertai kertas kerja dasar hitung dalam penentuan target kinerja, daftar hadir, dan foto rapat penyusunan penetapan kinerja;
(ii) Dokumen PK yang ditandatangani oleh pimpinan;
(iii) Dokumen daftar link PK yang diupload di PPID;
(iv) Seluruh dokumen Matriks Peran Hasil (MPH) dari aplikasi Kipapp yang ditandatangani oleh pimpinan.",http://s.bps.go.id/Akuntabilitas_41b_bps
62,A.,I.,IV,i.,c.,c. Pimpinan memantau pencapaian kinerja secara berkala,5,1,"(i) Undangan, notula (disertai kendala, solusi, tindak lanjut, PIC tindak lanjut, dan batas waktu tindak lanjut), daftar hadir, foto rapat monitoring capaian kinerja (FRA triwulanan), sesuai pada Simonev",http://s.bps.go.id/Akuntabilitas_41c_bps
63,A.,I.,IV,ii.,,ii. Pengelolaan Akuntabilitas Kinerja,4,0,,
64,A.,I.,IV,ii.,a.,a. Dokumen perencanaan kinerja sudah ada,5,1,"(i) Rencana Strategis (Renstra) dan Reviu Renstra;
(ii) Dokumen PK yang ditandatangani oleh pimpinan;
(iii) Dokumen daftar link Renstra, Reviu Renstra, dan PK yang diupload di PPID.",http://s.bps.go.id/Akuntabilitas_42a_bps
65,A.,I.,IV,ii.,b.,b. Perencanaan kinerja telah berorientasi hasil,5,1,"(i) Dokumen PK yang ditandatangani oleh pimpinan;
(ii) Dokumen daftar link PK yang diupload di PPID;
(iii) Seluruh dokumen MPH dari aplikasi Kipapp yang ditandatangani oleh pimpinan.",http://s.bps.go.id/Akuntabilitas_42b_bps
66,A.,I.,IV,ii.,c.,c. Terdapat penetapan Indikator Kinerja Utama (IKU),5,1,"(i) Dokumen Peraturan Kepala BPS Nomor 3 Tahun 2022 terkait Reviu IKU di Lingkungan BPS Tahun;
(ii) Surat terkait penyusunan Perjanjian Kinerja.",http://s.bps.go.id/Akuntabilitas_42c_bps
67,A.,I.,IV,ii.,d.,d. Indikator kinerja telah telah memenuhi kriteria SMART,5,1,"(i) Dokumen Laporan Kinerja yang ditandatangani oleh pimpinan;
(ii) Dokumen daftar link Laporan Kinerja yang diupload di PPID.",http://s.bps.go.id/Akuntabilitas_42d_bps
68,A.,I.,IV,ii.,e.,e. Laporan kinerja telah disusun tepat waktu,5,1,"(i) Dokumen Laporan Kinerja yang ditandatangani oleh pimpinan secara tepat waktu;
(ii) Dokumen daftar link Laporan Kinerja yang diupload di PPID;
(iii)Screenshot bukti unggah Laporan Kinerja secara tepat waktu.",http://s.bps.go.id/Akuntabilitas_42e_bps
69,A.,I.,IV,ii.,f.,f. Laporan kinerja telah memberikan informasi tentang kinerja,5,1,"(i) Dokumen Laporan Kinerja yang ditandatangani oleh pimpinan;
(ii) Dokumen daftar link Laporan Kinerja yang diupload di PPID.",http://s.bps.go.id/Akuntabilitas_42f_bps
70,A.,I.,IV,ii.,g.,g. Terdapat sistem informasi/mekanisme informasi kinerja,5,1,"(i) Peraturan Kepala Badan Pusat Statistik Nomor 9 Tahun 2015 tentang Pedoman Penyusunan Sistem Akuntabilitas Kinerja Instansi Pemerintah di Lingkungan Badan Pusat Statistik;
(ii) SK Tim SAKIP Tahun;
(iii)SOP Pengumpulan Data Kinerja sesuai dengan kondisi masing-masing satuan kerja yang ditandatangani oleh pimpinan (mengacu pada surat Sekretaris Utama terkait Pelaporan Capaian Kinerja Triwulanan Tahun).",http://s.bps.go.id/Akuntabilitas_42g_bps
71,A.,I.,IV,ii.,h,h Unit kerja telah berupaya meningkatkan kapasitas SDM yang menangani akuntabilitas kinerja,5,1,"(i) SK Tim SAKIP Tahun;
(ii) Dokumen daftar data individu seluruh anggota Tim SAKIP yang memuat data kompetensi dan sertifikat pembinaan terkait akuntabilitas kinerja (akumulasi kompetensi hingga tahun).",http://s.bps.go.id/Akuntabilitas_42h_bps
72,A.,I.,V,ii.,h,V PENGUATAN PENGAWASAN,3,0,,
73,A.,I.,V,i.,,i. Pengendalian Gratifikasi,4,0,,
74,A.,I.,V,i.,a.,a. Telah dilakukan public campaign tentang pengendalian gratifikasi,5,1,"(i) Dokumentasi atau screenshoot banner/spanduk/media sosial yang menunjukan pengendalian gratifikasi telah dipublikasikan secara berkala (per bulan/triwulan/semester);
(ii) Dokumen sosialisasi larangan gratifikasi dalam rapat internal maupun eksternal (undangan, notulen, daftar hadir).",http://s.bps.go.id/Pengawasan_1a_bps
75,A.,I.,V,i.,b.,b. Pengendalian gratifikasi telah diimplementasikan,5,1,"(i) SK terkait unit pengendalian gratifikasi (UPG);
(ii) Mekanisme atau SOP terkait pengendalian gratifikasi;
(iii)Laporan implementasi pengendalian gratifikasi",http://s.bps.go.id/Pengawasan_1b_bps
76,A.,I.,V,ii.,,ii. Penerapan Sistem Pengendalian Intern Pemerintah (SPIP),4,0,,
77,A.,I.,V,ii.,a.,a. Telah dibangun lingkungan pengendalian,5,1,"(i) Dokumen sosialisasi SPIP (undangan, notulen, materi/ paparan, daftar hadir, dokumentasi/foto);
(ii) SK tim SPIP ;
(iii) Dokumen laporan penyelenggaraan SPIP (tambahkan subbab terkait inovasi, jika ada).",http://s.bps.go.id/Pengawasan_2a_bps
78,A.,I.,V,ii.,b.,b. Telah dilakukan penilaian risiko atas pelaksanaan kebijakan,5,1,"(i) Laporan Manajemen Risiko yang memuat penilaian risiko;
(ii) Laporan terkait inovasi terkait lingkungan pengendalian yang sesuai dengan karakteristik unit kerja.",http://s.bps.go.id/Pengawasan_2b_bps
79,A.,I.,V,ii.,c.,c. Telah dilakukan kegiatan pengendalian untuk meminimalisir risiko yang telah diidentifikasi,5,1,"(i) Laporan Manajemen Risiko yang memuat kegiatan pengendalian risiko
(ii) Laporan terkait inovasi dalam meminimalisir risiko ",http://s.bps.go.id/Pengawasan_2c_bps
80,A.,I.,V,ii.,d.,d. SPI telah diinformasikan dan dikomunikasikan kepada seluruh pihak terkait,5,1,"(i) Dokumentasi pelaksanaan internalisasi/sosialisasi SPI (SPIP, MR, dll) kepada seluruh pegawai (undangan, daftar hadir, notulen, dan naskah paparan)",http://s.bps.go.id/Pengawasan_2d_bps
81,A.,I.,V,iii.,,iii. Pengaduan Masyarakat,4,0,,
82,A.,I.,V,iii.,a.,a. Kebijakan Pengaduan masyarakat telah diimplementasikan,5,1,"(i) SK petugas Pengelola Pengaduan Masyarakat;
(ii) Dokumen kebijakan pengaduan;
(iii)Dokumentasi media/sarana pengaduan masyarakat yang dilengkapi dengan narasi;
(iv)Dokumentasi spanduk/banner/flyer informasi sarana penyampaian pengaduan yang dilengkapi dengan narasi; dan
(v) Laporan pengelolaan pengaduan.",http://s.bps.go.id/Pengawasan_3a_bps
83,A.,I.,V,iii.,b.,b. Pengaduan masyarakat ditindaklanjuti,5,1,"(i) Laporan pengelolaan pengaduan dengan outline:
a. Rekapitulasi jumlah aduan per bulan (jenis aduan);
b. Tindak lanjut aduan;
c. Kendala dan solusi dalam penanganan aduan.",https://s.bps.go.id/Pengawasan_3b_bps
84,A.,I.,V,iii.,c.,c. Telah dilakukan monitoring dan evaluasi atas penanganan pengaduan masyarakat,5,1,"(i) Laporan pengelolaan pengaduan dengan outline:
a. Rekapitulasi jumlah aduan per bulan (jenis aduan)
b. Tindak lanjut aduan
c. Kendala dan solusi dalam penanganan aduan
d. Hasil evaluasi atas tindak lanjut penanganan pengaduan masyarakat
(ii) Dokumentasi pelaksanaan rapat evaluasi dan monitoring (undangan, daftar hadir, notulen);
",http://s.bps.go.id/Pengawasan_3c_bps
85,A.,I.,V,iii.,d.,d. Hasil evaluasi atas penanganan pengaduan masyarakat telah ditindaklanjuti,5,1,"(i) Laporan pengelolaan pengaduan dengan outline:
a. Rekapitulasi jumlah aduan per bulan (jenis aduan)
b. Tindak lanjut aduan
c. Kendala dan solusi dalam penanganan aduan
d. Hasil evaluasi atas tindak lanjut penanganan pengaduan masyarakat.",http://s.bps.go.id/Pengawasan_3d_bps
