id,kode_1,kode_2,kode_3,kode_4,kode_5,rencana_kerja,level,pengisian,pedoman,contoh_link
86,A.,I.,V,iv.,,iv. Whistle-Blowing System,4,0,,
87,A.,I.,V,iv.,a.,a. Whistle-Blowing System telah diterapkan,5,1,"(i) SK Tim WBS;
(ii) Keputusan Inspektur Utama No. B146/BPS/8000/10/2019 Tahun 2019 tentang Sistem Pengelolaan Pengaduan di Lingkungan Badan Pusat Statistik;
(iii) Dokumentasi spanduk/banner/flyer/media/sarana WBS yang dilengkapi dengan narasi;
(iv) Screenshot aplikasi WBS;
(v) Laporan pengelolaan WBS
",http://s.bps.go.id/Pengawasan_4a_bps
88,A.,I.,V,iv.,b.,b. Telah dilakukan evaluasi atas penerapan Whistle Blowing System,5,1,"(i) Laporan pengelolaan WBS dengan outline:
a. Rekapitulasi jumlah aduan per bulan (jenis aduan);
b. Rekapitulasi jumlah aduan per bulan (jenis aduan);
c. Tindak lanjut WBS;
d. Kendala dan solusi dalam penanganan WBS;",http://s.bps.go.id/Pengawasan_4b_bps
89,A.,I.,V,iv.,c.,c. Hasil evaluasi atas penerapan Whistle Blowing System telah ditindaklanjuti,5,1,"(i) Laporan pengelolaan WBS dengan outline:
a. Rekapitulasi jumlah aduan per bulan (jenis aduan);
b. Tindak lanjut WBS;
c. Kendala dan solusi dalam penanganan WBS;
d. Hasil evaluasi atas tindak lanjut penanganan WBS.",http://s.bps.go.id/Pengawasan_4c_bps
90,A.,I.,V,v.,,v. Penanganan Benturan Kepentingan,4,0,,
91,A.,I.,V,v.,a.,a. Telah terdapat identifikasi/pemetaan benturan kepentingan dalam tugas fungsi utama,5,1,"(i) Dokumen hasil identifikasi potensi benturan kepentingan dalam tugas fungsi utama untuk seluruh pegawai berdasarkan lampiran Perka BPS Nomor 36 Tahun 2023 tentang Pedoman Penanganan Benturan Kepentingan di Lingkungan Badan Pusat Statistik halaman 23;
(ii) Perka BPS Nomor 36 Tahun 2023 tentang Pedoman Penanganan Benturan Kepentingan di Lingkungan Badan Pusat Statistik.",http://s.bps.go.id/Pengawasan_5a_bps
92,A.,I.,V,v.,b.,b. Penanganan Benturan Kepentingan telah disosialisasikan/internalisasi,5,1,"(i) Dokumentasi internalisasi penanganan benturan kepentingan, antara lain: 
(1) rapat (undangan, daftar hadir, notulen, foto). 
(2) bimtek (laporan,foto). 
(3) apel pagi/sore (foto, teks arahan pimpinan) ",http://s.bps.go.id/Pengawasan_5b_bps
93,A.,I.,V,v.,c.,c. Penanganan Benturan Kepentingan telah diimplementasikan,5,1,"(i) Dokumen surat pernyataan bebas dari benturan kepentingan untuk seluruh pegawai berdasarkan lampiran Perka BPS Nomor 36 Tahun 2023 tentang Pedoman Penanganan Benturan Kepentingan di Lingkungan Badan Pusat Statistik halaman 22;
(ii) Laporan Benturan Kepentingan berdasarkan lampiran Perka BPS Nomor 36 Tahun 2023 tentang Pedoman Penanganan Benturan Kepentingan di Lingkungan Badan Pusat Statistik halaman 24.",http://s.bps.go.id/Pengawasan_5c_bps
94,A.,I.,V,v.,d.,d. Telah dilakukan evaluasi atas Penanganan Benturan Kepentingan,5,1,(i) Laporan monitoring dan evaluasi penanganan benturan kepentingan berdasarkan lampiran Perka BPS Nomor 36 Tahun 2023 tentang Pedoman Penanganan Benturan Kepentingan di Lingkungan Badan Pusat Statistik halaman 25.,http://s.bps.go.id/Pengawasan_5d_bps
95,A.,I.,V,v.,e.,e. Hasil evaluasi atas Penanganan Benturan Kepentingan telah ditindaklanjuti,5,1,(i) Laporan Bukti Tindak Lanjut Penanganan Benturan Kepentingan (mengacu pada rencana tindak lanjut di pertanyaan A.I.5.v.d),http://s.bps.go.id/Pengawasan_5e_bps
96,A.,I.,VI,v.,e.,VI PENINGKATAN KUALITAS PELAYANAN PUBLIK,3,0,,
97,A.,I.,VI,i.,,i. Standar Pelayanan,4,0,,
98,A.,I.,VI,i.,a.,a. Terdapat kebijakan standar pelayanan,5,1,"(i) Perka BPS No.65 Tahun tentang Standar Pelayanan Statistik Terpadu;
(ii) Keputusan Pejabat Pengelola Informasi dan Dokumentasi Badan Pusat Statistik No. B323/02400/HK.200/07/2022 tentang Standar Layanan Informasi Publik di lingkungan Badan Pusat Statistik;
(iii) Dokumen SK standar pelayanan publik.",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_1a_bps
99,A.,I.,VI,i.,b.,b. Standar pelayanan telah dimaklumatkan,5,1,"(i) Dokumen maklumat standar pelayanan yang ditandatangani kepala satker paling lambat 7 hari setelah SK standar pelayanan terbit;
(ii) Capture/foto dokumen maklumat standar pelayanan di tempat pelayanan misal PST, website, dan media lainnya (social media);
(iii) SK Maklumat Pelayanan.",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_1b_bps
100,A.,I.,VI,i.,c.,c. Dilakukan reviu dan perbaikan atas standar pelayanan,5,1,"(i) Dokumentasi rapat reviu standar pelayanan yang dilakukan dengan melibatkan stakeholders dan masyarakat (dilengkapi Undangan, Daftar Hadir, Notulensi, Dokumentasi Rapat);
(ii) Dokumen reviu standar pelayanan yang dilakukan dengan melibatkan stakeholders (antara lain : tokoh masyarakat, akademisi, dunia usaha, dan lembaga swadaya masyarakat), serta memanfaatkan masukan hasil SKM/SKD dan
pengaduan masyarakat.",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_1c_bps
101,A.,I.,VI,i.,d.,d. Telah melakukan publikasi atas standar pelayanan dan maklumat pelayanan,5,1,"(i) Dokumen bukti maklumat pelayanan telah dipublikasikan di berbagai media;
(ii) Dokumen bukti standar pelayanan telah dipublikasikan di berbagai media.",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_1d_bps
102,A.,I.,VI,ii.,,ii. Budaya Pelayanan Prima,4,0,,
103,A.,I.,VI,ii.,a.,a. Telah dilakukan berbagai upaya peningkatan kemampuan dan/atau kompetensi tentang penerapan budaya pelayanan prima,5,1,"(i) Dokumen pelatihan/sosialisasi pelayanan prima kepada pegawai/petugas layanan, antara lain:
- rapat (undangan, daftar hadir, notulen);
(ii) laporan dan materi pelatihan/sosialisasi pelayanan prima kepada pegawai/petugas layanan.
(iii) Dokumen jadwal pelatihan/sosialisasi yang menunjukkan bahwa pelatihan/sosialisasi dilakukan secara berkelanjutan dan terjadwal;
(iv) Dokumen monitoring dan evaluasi atas kualitas layanan yang diberikan oleh pegawai/petugas layanan.",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_2a_bps
104,A.,I.,VI,ii.,b.,b. Informasi tentang pelayanan mudah diakses melalui berbagai media,5,1,"(i) Dokumen Capture sarana informasi tentang pelayanan yang disediakan pada berbagai media;
(ii) Dokumen Capture sarana informasi tentang pelayanan yang disediakan telah terdaftar dan muncul pada SIPPN",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_2b_bps
105,A.,I.,VI,ii.,c.,c. Telah terdapat sistem pemberian penghargaan dan sanksi bagi petugas pemberi pelayanan,5,1,"(i) Dokumen mekanisme reward dan punishment yang minimal memenuhi unsur penilaian disiplin, kinerja, dan hasil penilaian pengguna layanan;
(ii) Dokumen penghargaan atas pelaksanaan pelayanan yang baik secara tahunan.",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_2c_bps
106,A.,I.,VI,ii.,d.,d. Telah terdapat sistem pemberian kompensasi kepada penerima layanan bila layanan tidak sesuai standar,5,1,"(i) Dokumen mekanisme pemberian kompensasi pada setiap jenis layanan;
(ii) Dokumentasi bukti pemberian kompensasi kepada penerima layanan (jika ada).",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_2d_bps
107,A.,I.,VI,ii.,e.,e. Terdapat sarana layanan terpadu/terintegrasi,5,1,"(i) Dokumentasi aplikasi layanan PST;
(ii) Dokumentasi layanan berbasis online (website);
(iii) Dokumentasi layanan berbasis aplikasi (Allstat).",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_2e_bps
108,A.,I.,VI,ii.,f.,f. Terdapat inovasi pelayanan,5,1,"(i) Laporan inovasi pelayanan publik (Inovasi tidak harus yang berupa pengembangan aplikasi berbasis IT, namun dapat berupa penambahan dekoratif pada ruang layanan, penyediaan layanan bagi disabilitas, pemberian layanan secara jemput bola seperti pojok statistik, road show/sosialisasi terkait pemberian layanan) yang dilegalisir oleh pimpinan;
(ii) Dokumen bukti bahwa inovasi telah direplikasi.",http://s.bps.go.id/PeningkatanKualitasPelayananPublik_2f_bps
109,A.,I.,VI,iii.,,iii. Pengelolaan Pengaduan,4,0,,
110,A.,I.,VI,iii.,a.,a. Terdapat media pengaduan dan konsultasi pelayanan yang terintegrasi dengan SP4N-Lapor!,5,1,"(i) SK/surat tugas Tim/Petugas khusus yg menangani aduan;
(ii) Screenshot profil instansi BPS pada lapor.go.id;
(iii) Dokumentasi akses admin SP4N-LAPOR!;
(iv) Dokumentasi laporan dari kotak pengaduan ataupun media lainnya secara online dan offline.",http://s.bps.go.id/PelayananPublik_3a_bps
111,A.,I.,VI,iii.,b.,b. Terdapat unit yang mengelola pengaduan dan konsultasi pelayanan,5,1,"(i) Dokumentasi akses admin SP4N-LAPOR!;
(ii) Surat Keputusan/SK pengelola SP4N-LAPOR! di level unit kerja.",http://s.bps.go.id/PelayananPublik_3b_bps
112,A.,I.,VI,iii.,c.,c. Telah dilakukan evaluasi atas penanganan keluhan/masukan dan konsultasi,5,1,(i) Laporan evaluasi atas penanganan keluhan/masukan dan konsultasi secara berkala.,http://s.bps.go.id/PelayananPublik_3c_bps
113,A.,I.,VI,iv.,,iv. Penilaian Kepuasan terhadap Pelayanan,4,0,,
114,A.,I.,VI,iv.,a.,a. Telah dilakukan survei kepuasan masyarakat terhadap pelayanan,5,1,(i) Laporan SKD per triwulan,http://s.bps.go.id/PelayananPublik_4a_bps
115,A.,I.,VI,iv.,b.,b. Hasil survei kepuasan masyarakat dapat diakses secara terbuka,5,1,"(i) Link publikasi SKD yang telah diterbitkan pada website beserta screenshot-nya;
(ii) Dokumentasi Poster indeks kepuasan konsumen dan SKM/SKD triwulanan secara offline dan online.",http://s.bps.go.id/PelayananPublik_4b_bps
116,A.,I.,VI,iv.,c.,c. Dilakukan tindak lanjut atas hasil survei kepuasan masyarakat,5,1,"(i) Dokumen rencana tindak lanjut/rekomendasi hasil SKD;
(ii) Dokumentasi bukti tindak lanjut telah dilaksanakan.",http://s.bps.go.id/PelayananPublik_4c_bps
117,A.,I.,VI,v.,,v. Pemanfaatan Teknologi Informasi,4,0,,
118,A.,I.,VI,v.,a.,a. Telah menerapkan teknologi informasi dalam memberikan pelayanan,5,1,"(i) Dokumentasi seluruh jenis pelayanan yang dilakukan dengan memanfaatkan teknologi informasi ataupun yang dilakukan secara online, misal:
 Perpustakaan: PST online, Allstat, data pada website.
 Konsultasi datang langsung: inovasi pelayanan satker.
 Konsultasi online: medsos (whatsapp), livechat;
 Penjualan publikasi datang langsung: inovasi pelayanan satker.
 Penjualan publikasi online: silastik.
 Penjualan data mikro datang langsung: inovasi pelayanan satker.
 Penjualan data mikro online: silastik.
 Rekomendasi kegiatan statistik: romantik.",http://s.bps.go.id/PelayananPublik_5a_bps
119,A.,I.,VI,v.,b.,b. Telah membangun database pelayanan yang terintegrasi,5,1,"(i) Dokumen narasi terkait sistem pelayanan BPS yang terintegrasi menggunakan PST, dimana databasenya tersentralisir dan jenis layanannya dapat berupa pemanfaatan website BPS, aplikasi mobile Allstat, dan layanan konsultasi offline yang menggunakan tabel dinamis, dll).",http://s.bps.go.id/PelayananPublik_5b_bps
120,A.,I.,VI,v.,c.,c. Telah dilakukan perbaikan secara terus-menerus,5,1,(i) Dokumen monitoring dan evaluasi perbaikan pelayanan TI per triwulanan (before-after).,http://s.bps.go.id/PelayananPublik_5c_bps
121,A.,II.,,,,II. REFORM,2,0,,
122,A.,II.,I,,,I MANAJEMEN PERUBAHAN,3,0,,
123,A.,II.,I,i.,,i. Komitmen dalam perubahan,4,0,,
124,A.,II.,I,i.,a.,a. Agen perubahan telah membuat perubahan yang konkret di Instansi (dalam 1 tahun),5,1,"(i) SK Agen Perubahan tahun;
(ii) Laporan agen perubahan tahun.",http://s.bps.go.id/ManajemenPerubahan_Reform1a_bps
125,A.,II.,I,i.,a.,- Jumlah Agen Perubahan,5,0,,
126,A.,II.,I,i.,a.,- Jumlah Perubahan yang dibuat,5,0,,
127,A.,II.,I,i.,b.,b. Perubahan yang dibuat Agen Perubahan telah terintegrasi dalam sistem manajemen,5,1,(i) Laporan agen perubahan yang memuat dokumentasi dan narasi pelaksanaan proyek perubahan.,http://s.bps.go.id/ManajemenPerubahan_Reform1b_bps
128,A.,II.,I,i.,b.,- Jumlah Perubahan yang dibuat,5,0,,
129,A.,II.,I,i.,b.,- Jumlah Perubahan yang telah diintegrasikan dalam sistem manajemen,5,0,,
130,A.,II.,I,ii.,,ii. Komitmen Pimpinan,4,0,,
131,A.,II.,I,ii.,-,"- Pimpinan memiliki komitmen terhadap pelaksanaan reformasi birokrasi, dengan adanya target capaian reformasi yang jelas di dokumen perencanaan",5,1,(i) Dokumen rencana kerja dan realisasi capaian nya,http://s.bps.go.id/ManajemenPerubahan_Reform2_bps
132,A.,II.,I,iii.,,iii. Membangun Budaya Kerja,4,0,,
133,A.,II.,I,iii.,-,- Instansi membangun budaya kerja positif dan menerapkan nilai-nilai organisasi dalam pelaksanaan tugas sehari-hari,5,1,"(i) Undangan, daftar hadir, Notulen dan dokumentasi internalisasi;
(ii) SOP kegiatan yang menghasilkan budaya kerja positif, misalkan: SOP Apel Pagi, SOP Sharing Knowledge, dll",http://s.bps.go.id/ManajemenPerubahan_Reform3_bps
134,A.,II.,II,iii.,-,II PENATAAN TATALAKSANA,3,0,,
135,A.,II.,II,i.,,i. Peta Proses Bisnis Mempengaruhi Penyederhanaan Jabatan,4,0,,
136,A.,II.,II,i.,-,"- Telah disusun peta proses bisnis dengan adanya penyederhanaan jabatan 
",5,1,"(i) Peraturan BPS Nomor 7 Tahun 2020 Tentang Organisasi dan Tata Kerja BPS (BPS Pusat) serta Peraturan BPS Nomor 5 Tahun 2023 Tentang Organisasi dan Tata Kerja BPS Provinsi dan BPS Kabupaten/Kota (BPS Daerah);
(ii) Surat perintah penyederhanaan organisasi di Surat Edaran (SE) Menteri PANRB Nomor 393 Tahun 2019 tentang langkah Strategis dan Konkret Penyederhanaan Birokrasi dan diperkuat oleh SE Menteri PANRB Nomor 15 tahun 2023 tentang Tata Cara Penilaian Penyederhanaan Birokrasi.",http://s.bps.go.id/PenataanTatalaksana_Reform1a_bps
137,A.,II.,II,ii.,,ii. Sistem Pemerintahan Berbasis Elektronik (SPBE) yang Terintegrasi,4,0,,
138,A.,II.,II,ii.,a,a Implementasi SPBE telah terintegrasi dan mampu mendorong pelaksanaan pelayanan publik yang lebih cepat dan efisien,5,1,"(i) Daftar Layanan pada pelayanan publik yang mengimplementasikan SPBE (disertai narasi dampak implementasi SPBE bagi pihak Eksternal);
(ii) Dokumen narasi penjelasan SPBE;
(iii) Dokumen yang menyatakan bahwa SPBE telah terintegrasi.",http://s.bps.go.id/PenataanTatalaksana_Reform2a_bps
139,A.,II.,II,ii.,b,b Implementasi SPBE telah terintegrasi dan mampu mendorong pelaksanaan pelayanan internal organisasi yang lebih cepat dan efisien,5,1,"(i) Daftar Layanan pada pelayanan internal organisasi yang mengimplementasikan SPBE dan disertai narasi dampak implementasi SPBE (hanya yang bersifat internal), seperti Back Office Selindo/BOS, Kipapp, Sipecut, dan lain-lain;
(ii) Dokumen narasi penjelasan SPBE;
(iii) Dokumen yang menyatakan bahwa SPBE telah terintegrasi.",http://s.bps.go.id/PenataanTatalaksana_Reform2b_bps
140,A.,II.,II,iii.,,iii. Transformasi Digital Memberikan Nilai Manfaat,4,0,,
141,A.,II.,II,iii.,a.,a. Transformasi digital pada bidang proses bisnis utama telah mampu memberikan nilai manfaat bagi unit kerja secara optimal,5,1,"(i) Narasi alasan perubahan metode pencacahan dari PAPI menjadi CAPI;
(ii) Buku Pedoman penggunaan PAPI dan CAPI pada kegiatan Survei Angkatan Kerja Nasional (Sakernas);
(iii) Surat edaran BPS Pusat terkait pencacahan menggunakan CAPI;
(iv) Screen shot pemanfaatan CAPI pada berbagai survei di masing-masing satker;
(v) Dokumen evaluasi atas transformasi digital PAPI ke CAPI.",http://s.bps.go.id/PenataanTatalaksana_Reform3a_bps
142,A.,II.,II,iii.,b.,b. Transformasi digital pada bidang administrasi pemerintahan telah mampu memberikan nilai manfaat bagi unit kerja secara optimal,5,1,"(i) Narasi pemanfaatan BOS dan Kipapp dari buku pedoman BOS dan Kipapp;
(ii) Buku pedoman penggunaan BOS dan Kipapp;
(iii) Surat edaran BPS Pusat terkait pemanfaatan BOS dan Kipapp;
(iv) Screen shot pemanfaatan BOS dan Kipapp;
(v) Dokumen evaluasi atas pemanfaatan BOS, dan Kipapp.
",http://s.bps.go.id/PenataanTatalaksana_Reform3b_bps
143,A.,II.,II,iii.,c.,c. Transformasi digital pada bidang pelayanan publik telah mampu memberikan nilai manfaat bagi unit kerja secara optimal,5,1,"(i) Narasi/buku pedoman pemanfaatan website, Silastik, Romantik, PPID, SIRUP, dll;
(ii) Screen shot pemanfaatan website, Silastik, Romantik, PPID, SIRUP, dll;
(iii) Dokumen evaluasi atas pemanfaatan website, Silastik, Romantik, PPID, SIRUP, dll.",http://s.bps.go.id/PenataanTatalaksana_Reform3c_bps
144,A.,II.,III,iii.,c.,III PENATAAN SISTEM MANAJEMEN SDM APARATUR,3,0,,
145,A.,II.,III,i.,,i. Kinerja Individu,4,0,,
146,A.,II.,III,i.,a,a Ukuran kinerja individu telah berorientasi hasil (outcome) sesuai pada levelnya,5,1,"(i) Dokumen SKP tahunan seluruh pegawai dari KipApp;
(ii) Dokumen penjelasan cascading indikator kinerja mulai dari Visi, misi, PK sampai IKI. ",http://s.bps.go.id/ManajemenSDM_Reform1_bps
147,A.,II.,III,ii.,,ii.,4,0,,
148,A.,II.,III,ii.,a,a Hasil assessment telah dijadikan pertimbangan untuk mutasi dan pengembangan karir pegawai,5,1,"(i) Dokumen hasil assessment atau hasil uji kompetensi pegawai;
(ii) Bagi BPS Provinsi/Unit Kerja berupa notulensi rapat Baperjakat yang memuat:
1. Hasil assessment/hasil uji kompetensi pegawai;
2. Pertimbangan untuk mutasi atau pengembangan karir berdasarkan hasil assessment/uji kompetensi
(iii) Bagi BPS Kabupaten/Kota berupa surat usulan terkait mutasi dan/atau pengembangan karir pegawai yang didasarkan pada hasil assessment/uji kompetensi.",http://s.bps.go.id/ManajemenSDM_Reform2_bps
149,A.,II.,III,iii.,,iii. Pelanggaran Disiplin Pegawai,4,0,,
150,A.,II.,III,iii.,a,a Penurunan pelanggaran disiplin pegawai,5,1,"(i) Laporan penanganan pelanggaran disiplin (rekap);
(ii) SK Hukuman Disiplin (jika ada)",http://s.bps.go.id/ManajemenSDM_Reform3_bps
151,A.,II.,III,iii.,a,- Jumlah pelanggaran tahun sebelumnya,5,0,,
152,A.,II.,III,iii.,a,- Jumlah pelanggaran tahun ini,5,0,,
153,A.,II.,III,iii.,a,- Jumlah pelanggaran yang telah diberikan sanksi/hukuman,5,0,,
154,A.,II.,IV,iii.,a,IV PENGUATAN AKUNTABILITAS,3,0,,
155,A.,II.,IV,i.,,i. Meningkatnya capaian kinerja unit kerja,4,0,,
156,A.,II.,IV,i.,-,- Persentase Sasaran dengan capaian 100% atau lebih,5,1,"(i) Dokumen Laporan Kinerja yang ditandatangani oleh pimpinan (Jumlah Sasaran Kinerja = 4);
(ii) Dokumen daftar link Laporan Kinerja yang diupload di PPID.",http://s.bps.go.id/Akuntabilitas_Reform1_bps
157,A.,II.,IV,i.,-,- Jumlah Sasaran Kinerja,5,0,,
158,A.,II.,IV,i.,-,- Jumlah Sasaran Kinerja yang tercapai 100% atau lebih,5,0,,
159,A.,II.,IV,ii.,,ii.,4,0,,
160,A.,II.,IV,ii.,-,- Hasil Capaian/Monitoring Perjanjian Kinerja telah dijadikan dasar sebagai pemberian reward and punishment bagi organisasi,5,1,"(i) Dokumen Laporan Kinerja yang ditandatangani oleh pimpinan;
(ii) Dokumen daftar link Laporan Kinerja yang diupload di PPID;
(iii) Narasi tentang reward untuk organisasi/satker yang menerima kinerja di atas target, baik dari pihak internal maupun eksternal BPS (disertakan piagam/sertifikatnya).",http://s.bps.go.id/Akuntabilitas_Reform2_bps
161,A.,II.,IV,iii.,,iii. Kerangka Logis Kinerja,4,0,,
162,A.,II.,IV,iii.,-,- Apakah terdapat penjenjangan kinerja (Kerangka Logis Kinerja) yang mengacu pada kinerja utama organisasi dan dijadikan dalam penentuan kinerja seluruh pegawai?,5,1,"(i) Dokumen PK yang ditandatangani oleh pimpinan;
(ii) Dokumen daftar link PK yang diupload di PPID;
(iii)Seluruh dokumen MPH dari aplikasi Kipapp yang ditandatangani oleh pimpinan.",http://s.bps.go.id/Akuntabilitas_Reform3_bps
163,A.,II.,V,iii.,-,V PENGUATAN PENGAWASAN,3,0,,
164,A.,II.,V,i.,,i. Mekanisme Pengendalian,4,0,,
165,A.,II.,V,i.,-,- Telah dilakukan mekanisme pengendalian aktivitas secara berjenjang,5,1,"(i) Laporan mekanisme pengendalian aktivitas secara berjenjang yang memuat: perencanaan penilaian risiko, pelaksanaan, monitoring, pelaporan dan telah menghasilkan peningkatan kinerja, mekanisme kerja baru yang lebih efektif, efisien, dan terkendali. ",http://s.bps.go.id/Pengawasan_reform_ia_bps
166,A.,II.,V,ii.,,ii. Penanganan Pengaduan Masyarakat,4,0,,
167,A.,II.,V,ii.,-,- Persentase penanganan pengaduan masyarakat,5,1,(i) Laporan pengelolaan pengaduan,http://s.bps.go.id/Pengawasan_reform_iia_bps
168,A.,II.,V,ii.,-,- Jumlah pengaduan masyarakat yang harus ditindaklanjuti,5,0,,
169,A.,II.,V,ii.,-,- Jumlah pengaduan masyarakat yang sedang diproses,5,0,,
170,A.,II.,V,ii.,-,- Jumlah pengaduan masyarakat yang selesai ditindaklanjuti,5,0,,
171,A.,II.,V,iii.,,iii. Penyampaian Laporan Harta Kekayaan,4,0,,
172,A.,II.,V,a.,,a. Penyampaian Laporan Harta Kekayaan Pejabat Negara (LHKPN),4,1,"(i) Lampiran surat Inspektur Utama perihal Proses Pelaporan LHKAN Periode;
(ii) Daftar pegawai yang wajib mengisi LHKPN (nama pegawai, jabatan) satuan kerja yang dilegalisasi oleh kepala satuan/unit kerja (Jumlah yang harus melaporkan LHKPN = KPA, Bendahara, PPK, Pejabat Pengadaan. Untuk BPS Provinsi, jumlah yang harus melaporkan LHKPN termasuk pegawai BPS Provinsi yang ditugaskan menjadi Pejabat Pengadaan pada BPS kabupaten/Kota);
(iii) Screenshot bukti penyampaian LHKPN.",http://s.bps.go.id/Pengawasan_reform_iii_ia_bps
173,A.,II.,V,a.,-,- Persentase penyampaian LHKPN,5,0,,
174,A.,II.,V,a.,-,- Jumlah yang harus melaporkan,5,0,,
175,A.,II.,V,a.,-,- Kepala satuan kerja,5,0,,
176,A.,II.,V,a.,-,- Pejabat yang diwajibkan menyampaikan LHKPN,5,0,,
177,A.,II.,V,a.,-,- Lainnya,5,0,,
178,A.,II.,V,a.,-,- Jumlah yang sudah melaporkan,5,0,,
179,A.,II.,V,b.,,b. Penyampaian Laporan Harta Kekayaan Non LHKPN (Tidak Wajib LHKPN),4,1,"(i) Lampiran surat Inspektur Utama perihal Proses Pelaporan LHKAN Periode;
(ii) Daftar pegawai yang wajib mengisi SPT (ASN yang tidak wajib LHKPN) dan dilegalisasi oleh kepala satuan/unit kerja; dan
(iii) Screenshot bukti penyampaian SPT",http://s.bps.go.id/Pengawasan_reform_iii_iia_bps
180,A.,II.,V,b.,-,- Persentase penyampaian Non LHKPN,5,0,,
181,A.,II.,V,b.,-,- Jumlah yang harus melaporkan (tidak wajib LHKPN),5,0,,
182,A.,II.,V,b.,-,- Pejabat administrator (eselon III),5,0,,
183,A.,II.,V,b.,-,- Pejabat Pengawas (eselon IV),5,0,,
184,A.,II.,V,b.,-,- Jumlah Fungsional dan Pelaksana,5,0,,
185,A.,II.,V,b.,-,- Jumlah yang sudah melaporkan,5,0,,
186,A.,II.,VI,b.,-,VI PENINGKATAN KUALITAS PELAYANAN PUBLIK,3,0,,
187,A.,II.,VI,i.,,i. Upaya dan/atau Inovasi Pelayanan Publik,4,0,,
188,A.,II.,VI,i.,a.,"a. Upaya dan/atau inovasi telah mendorong perbaikan pelayanan publik pada:
1. Kesesuaian Persyaratan
2. Kemudahan Sistem, Mekanisme, dan Prosedur
3. Kecepatan Waktu Penyelesaian
4. Kejelasan Biaya/Tarif, Gratis
5. Kualitas Produk Spesifikasi Jenis Pelayanan
6. Kompetensi Pelaksana/Web
7. Perilaku Pelaksana/Web
8. Kualitas Sarana dan prasarana
9. Penanganan Pengaduan, Saran dan Masukan",5,1,(i) Narasi yang menggambarkan dampak dari inovasi yang ada di satuan/unit kerja terhadap perbaikan pelayanan publik yang prima,http://s.bps.go.id/PelayananPublik_R1a_bps
189,A.,II.,VI,i.,b.,"b. Upaya dan/atau inovasi pada perijinan/pelayanan telah dipermudah:
1. Waktu lebih cepat
2. Pelayanan Publik yang terpadu
3. Alur lebih pendek/singkat
4 Terintegrasi dengan aplikasi",5,1,"(i) Dokumen daftar jumlah perijinan/pelayanan yang terdata/terdaftar di satuan/unit kerja (sesuai Perka BPS Nomor 65 Tahun);
(ii) Dokumen daftar jumlah perijinan/pelayanan di satuan/unit kerja yang telah dipermudah",http://s.bps.go.id/PelayananPublik_R1b_bps
190,A.,II.,VI,i.,b.,- Jumlah perizinan/pelayanan yang terdata/terdaftar,5,1,,
191,A.,II.,VI,i.,b.,- Jumlah perizinan/pelayanan yang telah dipermudah,5,1,,
192,A.,II.,VI,ii.,,ii. Penanganan Pengaduan Pelayanan dan Konsultasi,4,0,,
193,A.,II.,VI,ii.,-,- Penanganan pengaduan pelayanan dilakukan melalui berbagai kanal/media secara responsif dan bertanggung jawab,5,1,"(i) Laporan monitoring, evaluasi, dan tindak lanjut penanganan pengaduan dari berbagai media layanan;
(ii) Dokumentasi Penanganan Pengaduan secara offline dan online (jika ada aduan maka tampilkan screen shoot dari berbagai media layanan pengaduan, seperti sarana pengaduan offline, WA, media sosial, atau email pengaduan).",http://s.bps.go.id/PelayananPublik_Reform2_BPS